Drug,Brand name,Species,Use,Notes,Source URL
BioTEXT (Canada),,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/biotext-can.html
Bitter Safe Mist,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bitter-safe-mist.html
Black Coat Shampoo,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/black-coat-shampoo.html
Bladder Strength Chewable Tablets Canine Formula,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Store in a cool, dry place.",https://www.drugs.com/vet/bladder-strength-chewable-tablets-canine-formula.html
Bladder Support Chewable Tablets for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Not for human consumption. Keep out of reach of children and animals. In case of accidental overdose, contact a health professional immediately.",https://www.drugs.com/vet/bladder-support-chewable-tablets-for-dogs.html
Bladder Support Soft Chews for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Due to the tasty nature of our products, do not leave package unattended around pets.",https://www.drugs.com/vet/bladder-support-soft-chews-for-dogs.html
Blood & Energy Canine Chewable Tablets,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",100% MONEY BACK GUARANTEE,https://www.drugs.com/vet/blood-energy-canine-chewable-tablets.html
Blood & Energy Chewable Tablets for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Manufactured By: Garmon Corp. / VET CLASSICS , 27461 Via Industria, Temecula, CA 92590",https://www.drugs.com/vet/blood-energy-chewable-tablets-for-dogs.html
Blood glucose test strips,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/blood-glucose-test-strips.html
Blood Stop Gel,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/blood-stop-gel.html
Bravecto (fluralaner topical solution) for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","In a well-controlled U.S. field study, which included a total of 165 households and 321 treated dogs (221 with fluralaner and 100 with a topical active control), there were no serious adverse reactions.",https://www.drugs.com/vet/bravecto-fluralaner-topical-solution-for-dogs.html
Bravecto (fluralaner) Chews,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","In a well-controlled U.S. field study, which included 294 dogs (224 dogs were administered Bravecto every 12 weeks and 70 dogs were administered an oral active control every 4 weeks and were provided with a tick collar); there were no serious adverse reactions. All potential adverse reactions were recorded in dogs treated with Bravecto over a 182-day period and in dogs treated with the active control over an 84-day period. The most frequently reported adverse reaction in dogs in the Bravecto and active control groups was vomiting.",https://www.drugs.com/vet/bravecto-fluralaner-chews.html
Bravecto 1-MONTH (fluralaner) Chews,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","In a well-controlled U.S. field study, which included 271 dogs (201 dogs were administered Bravecto 1-Month every 30 days and 70 dogs were administered an oral active control [an isoxazoline] every 30 days), there were no serious adverse reactions associated with treatment. Over the 90-day study period, all observations of potential adverse reactions were recorded.",https://www.drugs.com/vet/bravecto-1-month-fluralaner-chews.html
BRAVECTO Chewable Tablets 1000 mg (Canada),,"Dog, Cat","used to assess efficacy. Palatability: In a well-controlled U.S. field study, which included 559 doses administered to 224 dogs, 80.7% of dogs voluntarily consumed BRAVECTO chewable tablets within 5 m","Although all adverse reactions are not reported, the following information is based on voluntary post-approval drug experience reporting. It is generally recognized that this results in significant under-reporting. The adverse events listed here reflect reporting and not necessarily causality.",https://www.drugs.com/vet/bravecto-chewable-tablets-1000-mg-can.html
BRAVECTO Chewable Tablets 112.5 mg (Canada),,"Dog, Cat","used to assess efficacy. Palatability: In a well-controlled U.S. field study, which included 559 doses administered to 224 dogs, 80.7% of dogs voluntarily consumed BRAVECTO chewable tablets within 5 m","Although all adverse reactions are not reported, the following information is based on voluntary post-approval drug experience reporting. It is generally recognized that this results in significant under-reporting. The adverse events listed here reflect reporting and not necessarily causality.",https://www.drugs.com/vet/bravecto-chewable-tablets-112-5-mg-can.html
BRAVECTO Chewable Tablets 1400 mg (Canada),,"Dog, Cat","used to assess efficacy. Palatability: In a well-controlled U.S. field study, which included 559 doses administered to 224 dogs, 80.7% of dogs voluntarily consumed BRAVECTO chewable tablets within 5 m","Although all adverse reactions are not reported, the following information is based on voluntary post-approval drug experience reporting. It is generally recognized that this results in significant under-reporting. The adverse events listed here reflect reporting and not necessarily causality.",https://www.drugs.com/vet/bravecto-chewable-tablets-1400-mg-can.html
BRAVECTO Chewable Tablets 250 mg (Canada),,"Dog, Cat","used to assess efficacy. Palatability: In a well-controlled U.S. field study, which included 559 doses administered to 224 dogs, 80.7% of dogs voluntarily consumed BRAVECTO chewable tablets within 5 m","Although all adverse reactions are not reported, the following information is based on voluntary post-approval drug experience reporting. It is generally recognized that this results in significant under-reporting. The adverse events listed here reflect reporting and not necessarily causality.",https://www.drugs.com/vet/bravecto-chewable-tablets-250-mg-can.html
BRAVECTO Topical Solution for Dogs 500 mg (Canada),,"Dog, Cat","used to assess efficacy. In a well-controlled U.S. field study, a single dose of BRAVECTO reduced fleas by ≥ 99.8% for 12 weeks. Dogs with signs of flea allergy dermatitis showed improvement in erythe","In a well-controlled U.S. field study, which included a total of 165 households and 321 treated dogs (221 with fluralaner and 100 with a topical active control), all potential adverse reactions were recorded and the most frequently reported are listed in the table below:",https://www.drugs.com/vet/bravecto-topical-solution-for-dogs-500-mg-can.html
BreathaLyser Gel,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/breathalyser-gel.html
BreathaLyser Gel (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/breathalyser-gel-can.html
BreathaLyser Green Tea,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Ingredients: Water, Glycerine, Sorbitol, Polysorbate 20, Green Tea Extract, Potassium Sorbate, Emilgase (Enzyme), Zinc Gluconate, Sodium Benzoate, Flavour, FD & C Blue No. 1, Caramel Colour and Chlorhexidine Gluconate",https://www.drugs.com/vet/breathalyser-green-tea.html
BreathaLyser Green Tea (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Ingredients: Water, Glycerine, Sorbitol, Polysorbate 20, Green Tea Extract, Potassium Sorbate, Emilgase (Enzyme), Zinc Gluconate, Sodium Benzoate, Flavour, FD & C Blue No. 1, Caramel Colour and Chlorhexidine Gluconate",https://www.drugs.com/vet/breathalyser-green-tea-can.html
BreathaLyser PerioStix (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/breathalyser-periostix-can.html
Buffered alcohol 70%,,"Dog, Cat, Horse, Cattle","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/buffered-alcohol-70.html
Bugwacker 600 (Canada),,"Dog, Cat, Horse, Cattle, Sheep","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bugwacker-600-can.html
Bugwacker Tall Insecticide (Canada),,"Dog, Cat, Cattle","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/bugwacker-tall-insecticide-can.html
Burow's solution and hydrocortisone,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Ingredients: Each mL contains:,https://www.drugs.com/vet/burow-s-solution-and-hydrocortisone.html
Butatron Tablets,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/butatron-tablets.html
Lax A Gel (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/lax-a-gel-can.html
Librela 20 mg (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Although not all adverse reactions are reported, the following information is based on voluntary post-approval drug experience reporting. It is generally recognized that this results in significant under-reporting. The adverse events listed here reflect reporting and not necessarily causality.",https://www.drugs.com/vet/librela-20-mg-can.html
Librela 30 mg (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Although not all adverse reactions are reported, the following information is based on voluntary post-approval drug experience reporting. It is generally recognized that this results in significant under-reporting. The adverse events listed here reflect reporting and not necessarily causality.",https://www.drugs.com/vet/librela-30-mg-can.html
Librela 5 mg (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Although not all adverse reactions are reported, the following information is based on voluntary post-approval drug experience reporting. It is generally recognized that this results in significant under-reporting. The adverse events listed here reflect reporting and not necessarily causality.",https://www.drugs.com/vet/librela-5-mg-can.html
Lido-2 (Canada),,"Dog, Cat, Horse, Cattle","used to provide prompt and lasting local anesthesia during certain surgical procedures and is approximately twice as effective as procaine. Dosage: May be used for epidural, nerve block or infiltratio",,https://www.drugs.com/vet/lido-2-can.html
Lidocaine 2% Injection,,"Dog, Cat, Horse, Cattle","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Epidural:,https://www.drugs.com/vet/lidocaine-2-injection.html
Lidocaine HCl 2% Injection,,"Dog, Cat, Horse, Cattle","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",MADE IN USA,https://www.drugs.com/vet/lidocaine-hcl-2-injection.html
Lidocaine Hydrochloride 2%,,"Dog, Cat, Horse, Cattle","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Cattle and Horses- 5 to 15 mL.,https://www.drugs.com/vet/lidocaine-hydrochloride-2.html
